"Participant","Age","Gender","Lote","Proficiency","Age_Englsh","Age_Lote","Item.number","Type","Value","Lexicalization","Bias","Order","Group","Context"
1,19,"Female",NA,"Not applicable.",NA,NA,23,"experiment",39,7,"Res","VPO","B","Marlon arrived at the swimming pool. As he was taking off his shoes%2C he lost his balance and fell in the pool.  He climbed back out%2C still in his shoes and shirt.  Just as he got out%2C though%2C the neighborhood bully came by."
1,19,"Female",NA,"Not applicable.",NA,NA,36,"experiment",99,107,"Bad","Filler","B","Throughout high school Dennis secretly loved his friend%2C Tammy%2C who had never loved him in return%2C and never would.  One day%2C Tammy told him she was dating Jasper."
1,19,"Female",NA,"Not applicable.",NA,NA,37,"experiment",99,14,"Res","VOP","B","Mr. Avery decided to create a little pond in his backyard next to his flower garden.  He spent the afternoon digging a 4-foot wide basin.  That night a rainstorm came and filled up the pond.  Soon%2C a long heat wave dried up the little pond.  Mr. Avery got out the garden hose."
1,19,"Female",NA,"Not applicable.",NA,NA,21,"experiment",0,6,"Res","U","B","Oscar bought his kitten a stuffed animal to play with.  The kitten was so rough with it that%2C by the next day%2C the kitten had pulled out all of the toy's stuffing.  Oscar discovered the shredded toy."
1,19,"Female",NA,"Not applicable.",NA,NA,22,"experiment",99,103.5,"Good","Filler","B","It was a great New Year's Eve party. Kate%2C though%2C had several more drinks than she should have.  Mary felt bad for her."
1,19,"Female",NA,"Not applicable.",NA,NA,17,"experiment",44,4,"Rep","VPO","B","Gwen bought a container of strawberries at the store.  As she was unloading her groceries at home%2C the lid to the strawberries came open and the berries spilled out of the container onto Gwen's counter.  Gwen put them back in the container and left the room to wash her hands.  When she returned%2C her toddler had dumped the strawberries out of the container."
1,19,"Female",NA,"Not applicable.",NA,NA,18,"experiment",99,102.5,"Good","Filler","B","It was Nancy's birthday%2C and Nancy's grandmother called to say she would come by to bring her a cake."
1,19,"Female",NA,"Not applicable.",NA,NA,24,"experiment",66,104,"Bad","Filler","B","It was Christmastime and Deirdre's mom had just baked her special fruitcake.  All of Deirdre's sisters absolutely love fruitcake. "
1,19,"Female",NA,"Not applicable.",NA,NA,35,"experiment",35,13,"Res","VPO","B","Soon after the start of Ellen's soccer game%2C she received a pass on the right side and brought the ball down the field.  Suddenly she tripped%2C and fell flat on her face%2C losing the ball.  She got up to recover the ball%2C but just then an opposing player put a shoulder into her."
1,19,"Female",NA,"Not applicable.",NA,NA,48,"experiment",99,110,"Bad","Filler","B","Lucy's two daughters normally like exactly the same foods.  But they differ when it comes to sushi%2C which Emily loves but Monica hates."
1,19,"Female",NA,"Not applicable.",NA,NA,49,"experiment",67,20,"Res","VOP","B","Cameron was looking forward to the burrito he had just bought.  As he unwrapped it%2C one of the corners of the burrito came open and a piece of chicken stuck out.  Cameron was annoyed."
1,19,"Female",NA,"Not applicable.",NA,NA,19,"experiment",36,5,"Rep","VOP","B","Tammy's dad bought a new blender.  It required assembly and he put it together the same day. Tammy%2C who loved mechanical things%2C then discovered it and took it completely apart%2C to learn how it works. Fortunately%2C Tammy's dad found all the pieces. "
1,19,"Female",NA,"Not applicable.",NA,NA,20,"experiment",89,103,"Bad","Filler","B","The week before the state test%2C each student in Ashley's class was assigned a different teacher to help them prepare. During the week%2C a snowstorm struck and many of the teachers had to stay home."
1,19,"Female",NA,"Not applicable.",NA,NA,25,"experiment",79,8,"Res","VOP","B","Dennis brought Carol a Christmas tree and he put it up in her living room.  That night%2C Carol's cat bumped into the tree and knocked it down.  Carol found it on the floor the next day."
1,19,"Female",NA,"Not applicable.",NA,NA,26,"experiment",89,104.5,"Good","Filler","B","Aria's brother wanted her to hear a new rap album just out.  He played for her the first four tracks before she stopped him%2C because she had to go to work."
